quantidade	codigo	descricao	valor
189	MOR-V1	MÉTODO - ESTUDO PARA ÓRGÃO ELETRÔNICO - VOL. 1	8
84	MOR-V2	MÉTODO - ESTUDO PARA ÓRGÃO ELETRÔNICO - VOL. 2	8
2	MOR-V3	MÉTODO - ESTUDO PARA ÓRGÃO ELETRÔNICO - VOL. 3	8
0	MOR-V4	MÉTODO - ESTUDO PARA ÓRGÃO ELETRÔNICO - VOL. 4	8
