quantidade	codigo	descricao	valor
0	BZ-16	BÍBLIA C/ HINÁRIO GRANDE, CAPA RECOURO, ÍNDICE, ZÍPER	55
136	BZ-17	BÍBLIA C/ HINÁRIO PEQUENA, CAPA RECOURO, ÍNDICE, ZÍPER	45
127	BZ-3	BÍBLIA GRANDE, CAPA RECOURO, ÍNDICE, ZÍPER	50
