quantidade	codigo	descricao	valor
702	MOO	MANUAL ORIENTAÇÃO ORQUESTRAL 	8
14	MIN	MANUAL DE INSTRUTORA	5
0	MSA	MÉTODO SIMPLIFICADO DE APRENDIZAGEM 	10
